main_index,all_rates,provider_groups,npi,entity_type_code,business_name,last_name,first_name,first_line_location_address,second_line_location_address,city_name,state_name,int_postal,truncated_zips,phone,taxonomy_1,taxonomy_2,taxonomy_3,taxonomy_4,taxonomy_5,taxonomy_6,taxonomy_7,taxonomy_8,taxonomy_9,taxonomy_10,taxonomy_11,taxonomy_12,taxonomy_13,taxonomy_14,taxonomy_15,Input Address,Match,Match Result,Match Address,LatLong,Number,L or R,longitude,latitude,mapped_taxonomy_1,mapped_taxonomy_2,mapped_taxonomy_3,mapped_taxonomy_4,mapped_taxonomy_5,mapped_taxonomy_6,mapped_taxonomy_7,mapped_taxonomy_8,mapped_taxonomy_9,mapped_taxonomy_10,mapped_taxonomy_11,mapped_taxonomy_12,mapped_taxonomy_13,mapped_taxonomy_14,mapped_taxonomy_15,diagnostic_name
205,1017.15,[6232],1184691537,2.0,RADIOLOGY SERVICES OF NEW YORK PC,RADIOLOGY SERVICES OF NEW YORK PC,RADIOLOGY SERVICES OF NEW YORK PC,2777 HYLAN BLVD,nan,STATEN ISLAND,NY,103064660.0,10306,7189790100.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2777 HYLAN BLVD, STATEN ISLAND, NY, 10306",Match,Exact,"2777 HYLAN BLVD, STATEN ISLAND, NY, 10306","-74.11538270893703,40.56498380990223",59867907.0,R,-74.11538270893700,40.56498380990220,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
206,1017.15,[6232],1144393224,2.0,"RADIOLOGY SERVICES OF NEW YORK, PC","RADIOLOGY SERVICES OF NEW YORK, PC","RADIOLOGY SERVICES OF NEW YORK, PC",348 13TH ST,SUITE 101,BROOKLYN,NY,112155004.0,11215,7188329729.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"348 13TH ST, BROOKLYN, NY, 11215",Match,Exact,"348 13TH ST, BROOKLYN, NY, 11215","-73.98530790832979,40.6652503243111",59075809.0,R,-73.98530790832980,40.6652503243111,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
232,348.94,[32983],1780071548,2.0,ISLAND MUSCULOSKELETAL CARE MD PC,ISLAND MUSCULOSKELETAL CARE MD PC,ISLAND MUSCULOSKELETAL CARE MD PC,10825 JAMAICA AVE,nan,RICHMOND HILL,NY,114182243.0,11418,5163746838.0,207XS0117X,208100000X,2084N0400X,2085R0202X,225100000X,363A00000X,207X00000X,nan,nan,nan,nan,nan,nan,nan,nan,"10825 JAMAICA AVE, RICHMOND HILL, NY, 11418",Match,Exact,"108-25 JAMAICA AVE, RICHMOND HILL, NY, 11418","-73.83931346535621,40.695710184810764",59707834.0,L,-73.83931346535620,40.695710184810800,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Orthopedic Surgery of the Spine",Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist",Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,Allopathic & Osteopathic Physicians/Orthopedic Surgery,,,,,,,,,Lower pelvic MRI
233,348.94,[32983],1053423517,2.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",2569 OCEAN AVE,nan,BROOKLYN,NY,112294513.0,11229,7186273342.0,111N00000X,208100000X,2084N0400X,2085R0202X,225100000X,207X00000X,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2569 OCEAN AVE, BROOKLYN, NY, 11229",Match,Exact,"2569 OCEAN AVE, BROOKLYN, NY, 11229","-73.95123432786437,40.59887701877744",59091581.0,L,-73.95123432786440,40.59887701877740,Chiropractic Providers/Chiropractor,Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist",Allopathic & Osteopathic Physicians/Orthopedic Surgery,,,,,,,,,,Lower pelvic MRI
234,348.94,[32983],1942303839,2.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",10907 JAMAICA AVE,nan,RICHMOND HILL,NY,114182338.0,11418,7188506577.0,111N00000X,208100000X,2084N0400X,2085R0202X,225100000X,207X00000X,nan,nan,nan,nan,nan,nan,nan,nan,nan,"10907 JAMAICA AVE, RICHMOND HILL, NY, 11418",Match,Exact,"109-07 JAMAICA AVE, RICHMOND HILL, NY, 11418","-73.83864051156428,40.69600215902517",641015411.0,L,-73.83864051156430,40.69600215902520,Chiropractic Providers/Chiropractor,Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist",Allopathic & Osteopathic Physicians/Orthopedic Surgery,,,,,,,,,,Lower pelvic MRI
235,348.94,[32983],1134231566,2.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.","ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",2475 EASTCHESTER RD,nan,BRONX,NY,104695915.0,10469,7186273342.0,111N00000X,208100000X,2084N0400X,2085R0202X,225100000X,207X00000X,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2475 EASTCHESTER RD, BRONX, NY, 10469",Match,Exact,"2475 EASTCHESTER RD, BRONX, NY, 10469","-73.84344705152614,40.86227294390142",80303912.0,L,-73.84344705152610,40.86227294390140,Chiropractic Providers/Chiropractor,Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist",Allopathic & Osteopathic Physicians/Orthopedic Surgery,,,,,,,,,,Lower pelvic MRI
250,372.56,[40084],1083964712,2.0,ENTERPRISE RADIOLOGY PC,ENTERPRISE RADIOLOGY PC,ENTERPRISE RADIOLOGY PC,4334 BROADWAY,nan,NEW YORK,NY,100332412.0,10033,5164957129.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4334 BROADWAY, NEW YORK, NY, 10033",Match,Exact,"4334 BROADWAY, NEW YORK, NY, 10033","-73.93450989879568,40.85241782333719",59655573.0,R,-73.93450989879570,40.85241782333720,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
254,372.56,[40084],1932768934,2.0,HOWARD JOHN SIMON MD PC,HOWARD JOHN SIMON MD PC,HOWARD JOHN SIMON MD PC,170 E 77TH ST LOWR LEVEL,nan,NEW YORK,NY,100751912.0,10075,2123699200.0,2085R0204X,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"170 E 77TH ST LOWR LEVEL, NEW YORK, NY, 10075",Match,Non_Exact,"170 E 77TH ST, NEW YORK, NY, 10075","-73.95921523612077,40.77330613075094",59657396.0,R,-73.95921523612080,40.77330613075090,"Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,Lower pelvic MRI
259,372.56,[40084],1184852741,2.0,MADISON AVENUE RADIOLOGY PC,MADISON AVENUE RADIOLOGY PC,MADISON AVENUE RADIOLOGY PC,1825 MADISON AVE,nan,NEW YORK,NY,100353829.0,10035,2128603500.0,2085R0202X,261QR0200X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1825 MADISON AVE, NEW YORK, NY, 10035",Match,Exact,"1825 MADISON AVE, NEW YORK, NY, 10035","-73.94346198203527,40.80176231828136",59658001.0,R,-73.94346198203530,40.80176231828140,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Ambulatory Health Care Facilities/Clinic/Center, Radiology",,,,,,,,,,,,,,Lower pelvic MRI
271,372.56,[40084],1780676593,2.0,"PARK AVENUE RADIOLOGISTS, P.C.","PARK AVENUE RADIOLOGISTS, P.C.","PARK AVENUE RADIOLOGISTS, P.C.",525 PARK AVE,nan,NEW YORK,NY,100218141.0,10021,2128881000.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"525 PARK AVE, NEW YORK, NY, 10021",Match,Non_Exact,"525 PARK AVE, NEW YORK, NY, 10065","-73.96900933250265,40.76387704356381",59657443.0,R,-73.96900933250270,40.76387704356380,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
277,1985.38,[40865],1699289488,2.0,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,622 W 168TH ST,nan,NEW YORK,NY,10032.0,10032,6463177111.0,207P00000X,207U00000X,207ZP0007X,207ZP0102X,2080P0204X,2085N0700X,2085R0202X,2085R0204X,363A00000X,207R00000X,nan,nan,nan,nan,nan,"622 W 168TH ST, NEW YORK, NY, 10032",No_Match,,,,,,-1.0,-1.0,Allopathic & Osteopathic Physicians/Emergency Medicine,Allopathic & Osteopathic Physicians/Nuclear Medicine,"Allopathic & Osteopathic Physicians/Pathology, Molecular Genetic Pathology","Allopathic & Osteopathic Physicians/Pathology, Anatomic Pathology & Clinical Pathology","Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Emergency Medicine",Allopathic & Osteopathic Physicians/Radiology/Neuroradiology,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology",Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,Allopathic & Osteopathic Physicians/Internal Medicine,,,,,,Lower pelvic MRI
300,348.94,[7290],1083999841,2.0,ACCURATE MEDICAL DIAGNOSTIC SERVICES PC,ACCURATE MEDICAL DIAGNOSTIC SERVICES PC,ACCURATE MEDICAL DIAGNOSTIC SERVICES PC,2025 RICHMOND AVE,SUITE 1,STATEN ISLAND,NY,103143937.0,10314,7184940800.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2025 RICHMOND AVE, STATEN ISLAND, NY, 10314",Match,Exact,"2025 RICHMOND AVE, STATEN ISLAND, NY, 10314","-74.1625287126783,40.598681119804496",59883931.0,L,-74.1625287126783,40.598681119804500,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
304,348.94,[7290],1154895076,2.0,LIFELINE MEDICAL IMAGING PC,LIFELINE MEDICAL IMAGING PC,LIFELINE MEDICAL IMAGING PC,1810 VOORHIES AVE STE 10,nan,BROOKLYN,NY,112353313.0,11235,3472927998.0,207RC0000X,2084N0400X,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1810 VOORHIES AVE STE 10, BROOKLYN, NY, 11235",Match,Exact,"1810 VOORHIES AVE, BROOKLYN, NY, 11235","-73.9508993851062,40.58598376812739",59091832.0,R,-73.9508993851062,40.58598376812740,"Allopathic & Osteopathic Physicians/Internal Medicine, Cardiovascular Disease","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,Lower pelvic MRI
312,348.94,[7290],1962593061,2.0,"DAMADIAN MRI IN CANARSIE, P.C.","DAMADIAN MRI IN CANARSIE, P.C.","DAMADIAN MRI IN CANARSIE, P.C.",2035 RALPH AVE,SUITE A-5,BROOKLYN,NY,112345300.0,11234,7182091070.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2035 RALPH AVE, BROOKLYN, NY, 11234",Match,Exact,"2035 RALPH AVE, BROOKLYN, NY, 11234","-73.91813048219211,40.62842884236369",59086430.0,L,-73.91813048219210,40.62842884236370,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
317,348.94,[7290],1518997204,2.0,WYCKOFF IMAGING SERVICES PC,WYCKOFF IMAGING SERVICES PC,WYCKOFF IMAGING SERVICES PC,374 STOCKHOLM ST,nan,BROOKLYN,NY,112374006.0,11237,7189637373.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"374 STOCKHOLM ST, BROOKLYN, NY, 11237",Match,Exact,"374 STOCKHOLM ST, BROOKLYN, NY, 11237","-73.9175778434053,40.70467624528686",59082474.0,R,-73.9175778434053,40.70467624528690,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
319,348.94,[7290],1689697948,2.0,DELTA DIAGNOSTIC RADIOLOGY PC,DELTA DIAGNOSTIC RADIOLOGY PC,DELTA DIAGNOSTIC RADIOLOGY PC,61 AVENUE U,nan,BROOKLYN,NY,112233544.0,11223,7187874090.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"61 AVENUE U, BROOKLYN, NY, 11223",Match,Exact,"61 AVE U, BROOKLYN, NY, 11223","-73.98214829728033,40.5960504504514",59090602.0,L,-73.98214829728030,40.5960504504514,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
325,348.94,[7290],1952535742,2.0,"HORIZON RADIOLOGY, PC","HORIZON RADIOLOGY, PC","HORIZON RADIOLOGY, PC",3852 NOSTRAND AVE,nan,BROOKLYN,NY,112352013.0,11235,7187432300.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3852 NOSTRAND AVE, BROOKLYN, NY, 11235",Match,Exact,"3852 NOSTRAND AVE, BROOKLYN, NY, 11235","-73.9400305204112,40.59039750524789",59092022.0,R,-73.9400305204112,40.59039750524790,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
330,348.94,[7290],1356355127,2.0,"CHARLES J DEMARCO, PC DBA ALLIED HEALTH IMAGING","CHARLES J DEMARCO, PC DBA ALLIED HEALTH IMAGING","CHARLES J DEMARCO, PC DBA ALLIED HEALTH IMAGING",305 SEGUINE AVENUE,nan,STATEN ISLAND,NY,10309.0,10309,7189849729.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"305 SEGUINE AVENUE, STATEN ISLAND, NY, 10309",Match,Exact,"305 SEGUINE AVE, STATEN ISLAND, NY, 10309","-74.19704500474666,40.518978015406844",59874594.0,L,-74.19704500474670,40.518978015406800,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
334,348.94,[7290],1427051689,2.0,"NARROWS MRI AND DIAGNOSTIC RADIOLOGY, PC","NARROWS MRI AND DIAGNOSTIC RADIOLOGY, PC","NARROWS MRI AND DIAGNOSTIC RADIOLOGY, PC",9920 4TH AVE,nan,BROOKLYN,NY,112098333.0,11209,7189210333.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"9920 4TH AVE, BROOKLYN, NY, 11209",Match,Exact,"9920 4TH AVE, BROOKLYN, NY, 11209","-74.03334835794226,40.61328787539338",59087615.0,R,-74.03334835794230,40.61328787539340,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
335,907.67,[21258],1851893317,2.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,8314 COOPER AVE,nan,GLENDALE,NY,113857722.0,11385,7184281500.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"8314 COOPER AVE, GLENDALE, NY, 11385",Match,Exact,"83-14 COOPER AVE, GLENDALE, NY, 11385","-73.86639364701603,40.71039663289707",59705460.0,R,-73.86639364701600,40.71039663289710,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
336,907.67,[21258],1710395991,2.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,7206 NORTHERN BLVD,nan,JACKSON HEIGHTS,NY,11372.0,11372,7184281500.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"7206 NORTHERN BLVD, JACKSON HEIGHTS, NY, 11372",Match,Exact,"72-06 NORTHERN BLVD, JACKSON HEIGHTS, NY, 11372","-73.89452754545442,40.75454007724551",59698269.0,R,-73.89452754545440,40.75454007724550,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
337,907.67,[21258],1780771634,2.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,3225 FRANCIS LEWIS BLVD,nan,FLUSHING,NY,113581922.0,11358,7184281500.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3225 FRANCIS LEWIS BLVD, FLUSHING, NY, 11358",Match,Exact,"32-25 FRANCIS LEWIS BLVD, FLUSHING, NY, 11358","-73.79157481919623,40.76864206131785",59702233.0,L,-73.79157481919620,40.76864206131790,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
338,907.67,[21258],1598852469,2.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,MAIN STREET RADIOLOGY AT BAYSIDE LLC,4401 FRANCIS LEWIS BLVD,nan,BAYSIDE,NY,113613002.0,11361,7184281500.0,2085R0202X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4401 FRANCIS LEWIS BLVD, BAYSIDE, NY, 11361",Match,Exact,"44-01 FRANCIS LEWIS BLVD, BAYSIDE, NY, 11361","-73.783066014876,40.757296429005635",59702872.0,L,-73.783066014876,40.757296429005600,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,Lower pelvic MRI
